위도,경도,장소명칭,장소상세정보,무장애관광정보
33.55854602,126.754265,세기 알 포구 시작점,주차장과 화장실이 있다.,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55859304,126.754202,세기 알 포구 화장실,특이사항없음,장애인화장실
33.55893896,126.753914,구좌 캐릭터 사진 스폿,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55893603,126.753678,김녕 옛 등대. 정자,계단 4개. 바닥면 돌로 되어 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55788896,126.753202,길을 걷다'벽화,물고기 조형물,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55755896,126.752355,김녕 마을의 안녕을 기원합니다' 돗제,돼지 조형물 *돗제 : 돼지를 육식신에게 바치고 마을 안녕을 기원하는 제사,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55774404,126.752154,김녕 안내 지도,공터 있음. 주차장으로 이용 가능,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55793498,126.751438,청굴물 글라' 벽화,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55806498,126.751415,청굴물 ,접근이 가능하나 입구에 울퉁불퉁함.,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55792902,126.750852,오르막 길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55803296,126.750615,오르막 길,11 이후 내리막길 살짝,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55783297,126.750239,해파리'벽화,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55766097,126.749556,삼거리 마을 게시판,바닥면 하수구 배수관 넓음 주의요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55793699,126.748957,봉지동 복지회관,간조시 신비의 바다길이 보이곳 ,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55752703,126.747659,소공원 정자,안내도 있음. / 턱 3cm ,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.557536,126.74747,섬집아이'벽화,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55777496,126.747102,김녕처럼'cafe,계단 3개,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.558069,126.74659,굴곡'벽화,''농띠'라는 카페의 벽.,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55768201,126.745632,오르막 길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55760599,126.74563,오르막 길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.557479,126.745649,'YAO' 벽화& '내려놓고 가세요' 벽화,개소리에 놀램 주의,특이사항없음
33.55768,126.745007,김녕리의 유래 안내도,주차 가능한 공터 있음,특이사항없음
33.55781503,126.744692,화장실,일반화장실 계단 2개. 턱 2cm,장애인화장실
33.55786398,126.742557,'바람마당'쉼터,정자있음. 조형물 '김녕해녀 빌레와 제돌이의 신나는 순水바당 탐험기,특이사항없음
33.55800002,126.742141,김녕항 종합안내,김녕서포구 위치,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.558357,126.740652,김녕항 수산 문화 센터 주차장,반환점.끝,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55676503,126.746586,공터,차 대략 7대 주차가능,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55656101,126.747099,용두동 복지회관,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.55696703,126.747294,소공원 ,운동기구 있는 소공원 지나면 W.p 15이 나옴( w.p15~w.p 1까지 리턴),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.23714303,126.515571,법환포구 주차장,특이사항없음,특이사항없음
33.23681898,126.515304,안내표지(동가름물.막숙) 주차구역,특이사항없음,특이사항없음
33.236217,126.515118,잠녀상 공원 및 주차구역,특이사항없음,특이사항없음
33.23527697,126.514416,법환야외공연장 공용화장실 및 주차구역,특이사항없음,장애인화장실
33.23493498,126.513965,오르막 종료,경사구간 : 오르막 경사 25m (경사 5˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.234737,126.51378,안내표지(해녀체험센터.체험장) 앞,특이사항없음,특이사항없음
33.233988,126.513631,해녀체험센터 앞,경사구간 : wp.116에서 20m 지점부터 내리막 시작 (경사길이 7m / 각도 6˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.23355096,126.512991,해녀체험장,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.23302802,126.511724,해녀작업장,경사구간 : wp.118에서 9m 지점부터 내리막 시작 (경사길이 26m / 각도 10˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.23276198,126.511331,보행로 시작,보행로 폭 85cm,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음)
33.23183804,126.509787,안내표지(오다리),보행로 폭 200cm,특이사항없음
33.23079499,126.507903,안내표지(흰돌밑),특이사항없음,특이사항없음
